price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,sqft_living15,sqft_lot15,split
499950.00,5,3.5,3200,43560,2,0,0,3,7,3200,0,1989,0,98059,2730,43560,train
455000.00,4,1,1340,5800,1.5,0,2,3,7,1340,0,1914,0,98116,1900,5800,train
370000.00,5,2.5,2250,10400,1,0,0,3,8,1280,970,1973,0,98058,2140,9592,train
1165000.00,4,3.75,3920,4500,3,0,0,3,8,3920,0,2013,0,98103,2040,3000,train
687000.00,4,2.5,2370,10083,2,0,0,5,8,2370,0,1966,0,98033,2370,10133,train
439950.00,4,2.5,2380,12067,2,0,0,3,7,2380,0,2002,0,98059,2330,8621,train
809000.00,5,4.5,4630,6324,2,0,0,3,9,3210,1420,2006,0,98065,4420,6790,train
268500.00,2,10,790,8424,1,0,0,4,6,790,0,1953,0,98133,1470,8424,train
468000.00,3,1.5,13700,7697,1,0,0,3,7,1370,0,1939,0,98177,1370,7697,train
265953.00,3,1.75,1470,130680,1,0,0,4,7,1470,0,1975,0,98092,2090,16988,train
226800.00,2,1,1240,11393,1,0,0,4,7,1240,0,1960,0,98030,1660,11393,train
733000.00,6,2.75,2730,5000,1,0,0,3,8,1780,950,1962,0,98107,2090,5000,train
240000.00,2,1,1320,24319,1,0,0,3,7,1320,0,1966,0,98027,1430,98445,train
420000.00,3,3.5,1900,2133,2,0,0,3,8,1520,380,2009,0,98126,1530,3264,train
615000.00,4,2.25,1780,10260,2,0,0,3,8,1780,0,1971,0,98052,2360,10080,train
725000.00,3,1.75,1880,13300,1,0,0,3,7,1380,500,1967,0,98004,3550,10883,train
1800000.00,4,3.5,6370,205603,2,0,0,3,12,6370,0,2008,0,98027,1490,33580,train
435000.00,4,25,1700,6380,1,0,0,4,7,850,850,1940,0,98115,1380,6380,train
319000.00,2,1,9600,4400,1,0,0,4,7,960,0,1951,0,98118,1520,5000,train
285000.00,3,1.75,1020,50000,1,0,0,5,6,1020,0,1954,0,98118,1360,5000,train
652000.00,3,1,1470,6122,1,0,0,3,8,1200,270,1948,0,98199,2200,6122,train
194000.00,3,1.75,1260,10488,1,0,0,2,7,1110,150,1952,0,98106,1540,9120,train
508000.00,2,1,1200,2500,2,0,2,3,7,1090,110,1927,0,98112,2690,4800,train
960000.00,5,3.5,4510,16305,2,0,0,3,10,2820,1690,2003,0,98074,4330,18741,train
265000.00,2,1,620,4760,1,0,0,3,6,620,0,1941,0,98126,620,4760,train
246700.00,3,2,1610,13309,1,0,0,4,7,1610,0,1967,0,98042,1610,15725,train
409900.00,3,2.5,1690,1200,2,0,0,3,8,1410,280,2013,0,98106,1690,1760,train
735000.00,4,25,2470,2550,3,0,0,3,8,2470,0,2004,0,98117,1270,3060,train
269950.00,3,2.25,16600,7003,2,0,0,3,7,1660,0,1996,0,98030,1840,6680,train
333490.00,4,2.5,2250,39160,2,0,0,3,8,2250,0,2014,0,98003,2156,3920,train
800000.00,4,2.75,3260,5000,2,0,0,3,9,3260,0,2007,0,98027,3450,6218,train
259950.00,3,1,1460,5825,1,0,0,5,5,1260,200,1942,0,98056,1150,5926,train
600000.00,3,1,1440,4300,1.5,0,0,3,8,1440,0,1929,0,98117,1640,4500,train
426250.00,4,1,1610,6000,1.5,0,0,4,7,1510,100,1905,0,98118,1430,6000,train
249900.00,3,1,1100,5000,1,0,0,3,7,1100,0,1960,0,98118,1020,5000,train
790100.00,4,2.5,2590,9341,2,0,0,3,8,2590,0,1985,0,98052,2280,9510,train
290000.00,3,2.5,1420,3542,2,0,0,3,8,1310,110,2007,0,98133,1180,1622,train
373000.00,3,20,1400,2445,1,0,0,3,7,840,560,2002,0,98144,1400,3200,train
140000.00,2,1,10800,6052,1,0,0,5,6,1080,0,1908,0,98030,1810,7830,train
702500.00,3,1.5,2360,67500,2,0,0,5,7,1930,430,1926,0,98103,1320,4500,train
425000.00,4,2,1520,7983,1,0,0,5,7,1520,0,1967,0,98034,1520,7783,train
299999.00,4,2,1640,7200,1,0,0,5,6,820,820,1944,0,98166,1640,8200,train
321000.00,5,2.75,3030,7000,1,0,0,4,7,1540,1490,1978,0,98032,1790,7330,train
555000.00,2,1,1550,4600,1,0,0,4,7,1050,500,1941,0,98117,1550,4600,train
529500.00,3,2.25,1410,905,3,0,0,3,9,1410,0,2014,0,98116,1510,1352,train
250000.00,3,2.5,2070,8400,2,0,0,4,8,2070,0,1990,0,98002,2070,9239,train
658588.00,3,2.25,2560,41346,2,0,0,3,10,2560,0,1986,0,98027,3040,35395,train
1175000.00,3,15,1970,23180,1,1,4,3,8,1100,870,1937,1998,98136,3030,34689,train
1555000.00,5,2.5,28700,16238,2,0,0,4,8,2870,0,1962,0,98039,2870,16238,train
319000.00,3,1,960,85560,1,0,0,3,7,960,0,1971,0,98034,1320,7528,train
499000.00,6,1.75,2400,7500,1.5,0,0,3,7,1400,1000,1975,0,98155,1980,7500,train
460000.00,3,1.75,1660,9900,2,0,0,3,8,1660,0,1978,0,98033,1720,6600,train
410000.00,4,2.5,1700,9000,1,0,0,5,7,1700,0,1972,0,98034,1370,7592,train
386500.00,3,2.25,2950,8036,1.5,0,0,3,8,1950,1000,1963,0,98125,2060,7200,train
450000.00,3,1.5,1530,23660,1,0,0,3,7,1530,0,1952,0,98155,1800,11407,train
347500.00,4,2.75,2290,7000,2,0,0,3,8,2290,0,1977,0,98058,2000,7200,train
840000.00,4,2.75,2600,2750,1.5,0,0,3,7,1620,980,1936,0,98119,1960,3705,train
462500.00,4,1,1540,4500,1.5,0,0,2,7,1540,0,1905,0,98116,1920,6000,train
185000.00,3,1,980,9135,1,0,0,3,7,980,0,1955,0,98001,1780,9135,train
520000.00,3,1.75,1490,1036,2,0,0,3,10,1090,400,2008,0,98199,1460,1206,train
371000.00,3,1,890,7200,1,0,0,3,7,890,0,1951,0,98125,1630,7455,train
675000.00,3,3,2980,28000,1,0,0,3,10,1820,1160,1981,0,98052,2570,28500,train
110000.00,2,1,828,4524,1,0,0,3,6,828,0,1968,2007,98001,828,5402,train
289275.00,3,2,2860,24046,1,0,0,3,9,1700,1160,1985,0,98019,1460,13648,train
309950.00,3,2.5,1880,7838,2,0,0,3,7,1880,0,1994,0,98055,1810,7915,train
382000.00,2,1,870,10492,1,0,0,3,7,870,0,1937,0,98106,1300,7987,train
336600.00,3,2.25,1654,8464,2,0,0,3,7,1654,0,1995,0,98038,1975,8515,train
324500.00,3,2.5,1590,4108,2,0,0,3,7,1590,0,2003,0,98056,2160,3912,train
325000.00,3,1,1920,6862,1,0,2,3,7,1120,800,1952,0,98118,2000,6900,train
549995.00,4,3.5,2970,6587,2,0,0,3,8,2260,710,2014,0,98059,2970,5690,train
665000.00,4,2.5,2790,43091,2,0,0,4,9,2790,0,1989,0,98077,2750,35290,train
525000.00,3,1.5,1380,4290,1,0,0,3,7,1080,300,1955,0,98107,1510,3900,train
195000.00,2,1,1280,7861,1,0,0,4,6,1280,0,1913,0,98002,1020,6480,train
324900.00,4,2.25,2010,7280,2,0,0,4,8,2010,0,1988,0,98032,1660,7579,train
750000.00,4,2.75,3170,7634,2,0,0,3,10,3170,0,1992,0,98075,2940,7846,train
599000.00,5,2.75,2730,22572,1,0,0,3,7,2080,650,1968,1992,98075,2260,15458,train
615500.00,3,1.5,1810,5080,1,0,0,3,7,1030,780,1958,0,98115,1780,7620,train
687500.00,3,1.75,2450,9377,1,0,2,4,8,1540,910,1962,0,98125,2520,9725,train
145000.00,3,1,1010,5490,1,0,0,3,6,1010,0,1954,0,98168,1740,10658,train
1625000.00,4,3.75,4410,8112,3,0,4,3,11,3570,840,2003,0,98116,2770,5750,train
255000.00,3,2,1590,8670,1,0,0,3,7,1590,0,1994,0,98042,1590,9253,train
285000.00,4,2,2120,6865,1,0,0,3,7,1060,1060,1954,0,98133,1460,7780,train
560000.00,3,2,1840,14985,1,0,0,3,7,1840,0,1968,0,98033,2300,16067,train
456000.00,4,1.75,1670,9886,1,0,0,5,7,1670,0,1947,0,98125,2590,9997,train
500000.00,3,1.5,1220,962,3,0,0,3,8,1220,0,2014,0,98107,1510,2501,train
220000.00,4,1.75,2020,7840,1,0,0,3,7,1010,1010,1968,0,98003,1750,8140,train
315000.00,3,1.75,1410,15134,1,0,0,3,7,1410,0,1980,0,98014,1770,15337,train
270000.00,4,1,1900,8505,1,0,0,3,7,1200,700,1956,0,98055,1440,8505,train
3204000.00,4,4,4810,18851,4,0,3,3,11,4810,0,2007,0,98004,3970,19929,train
599950.00,6,3,2020,4129,1,0,0,3,7,1230,790,1994,0,98105,2080,4080,train
945000.00,4,2,2840,13367,1,0,0,3,7,1420,1420,1952,0,98004,2840,12744,train
690000.00,3,1.5,1710,17707,1,0,0,4,7,1180,530,1947,0,98040,2590,9508,train
317000.00,3,1,1160,8813,1,0,0,3,7,1160,0,1952,0,98125,1200,7615,train
700000.00,4,2.5,2580,15031,2,0,0,3,9,2580,0,1999,0,98052,3030,10361,train
650000.00,3,2,1840,3075,1,0,0,5,7,920,920,1928,0,98103,1480,3774,train
766500.00,2,1.75,2230,6930,1,0,0,4,8,1530,700,1947,0,98105,1970,6930,train
229999.00,4,2,1670,5200,1,0,0,4,7,1030,640,1977,0,98042,1500,5200,train
715000.00,4,3.25,2630,7770,2,0,0,3,9,2630,0,2014,0,98126,1370,7770,train
621138.00,3,2.25,2180,7741,2,0,0,3,9,2180,0,1986,0,98074,2300,8581,train
774950.00,4,2.5,3410,179419,2,0,0,3,10,3410,0,2004,0,98010,3350,175421,train
733000.00,3,2.5,2160,9888,2,0,0,4,9,2160,0,1989,0,98052,3060,7829,train
319950.00,2,2.5,1280,819,2,0,0,3,8,1060,220,2006,0,98103,1290,2900,train
1227500.00,4,2.5,3180,10319,2,0,0,4,11,3180,0,1986,0,98040,3130,12120,train
842000.00,3,1,1620,4774,1.5,0,0,3,7,1620,0,1920,0,98103,1880,4560,train
179000.00,2,1,990,8760,1,0,0,3,7,990,0,1977,0,98003,1560,11880,train
379000.00,3,2.5,1580,3075,2,0,0,3,8,1580,0,2013,0,98126,1710,2934,train
411100.00,3,1.5,1040,10323,1,0,0,4,7,1040,0,1958,0,98005,1580,7200,train
294500.00,3,2.5,1760,2688,2,0,0,3,7,1760,0,2005,0,98059,1760,2329,train
1015000.00,3,3.25,3620,4000,2,0,0,3,10,2730,890,2005,0,98199,1910,5000,train
279800.00,3,1.75,1410,2052,2,0,0,3,8,1410,0,2014,0,98106,1410,1988,train
528000.00,5,1.75,2780,7786,1,0,0,3,8,1390,1390,1966,0,98052,2130,7918,train
2900000.00,4,3.25,4580,4838,2,0,3,4,11,3080,1500,1991,0,98109,3540,6483,train
770000.00,4,3.5,3680,2242,2.5,0,0,3,9,2670,1010,1930,2007,98112,1350,1288,train
472000.00,5,2.25,1780,7245,1,0,0,4,8,1330,450,1976,0,98052,1780,7653,train
506950.00,3,2.5,2080,4931,2,0,0,3,8,2080,0,2000,0,98065,1890,4229,train
453000.00,4,1.75,2120,7420,1,0,0,4,7,1060,1060,1956,0,98008,1540,7420,train
419950.00,3,3,2150,3962,1.5,0,0,3,7,1540,610,1949,0,98125,1730,4609,train
219000.00,3,1,1080,10639,1.5,0,0,3,7,1080,0,1953,0,98002,1470,10600,train
265000.00,2,2,1860,10856,1,0,0,3,8,1260,600,1952,0,98178,1250,10008,train
470000.00,3,1.75,2290,14800,1,0,0,3,8,1620,670,1965,0,98155,2320,12474,train
1242500.00,4,2.75,2680,8500,1,0,4,4,9,1480,1200,1962,0,98006,2940,8650,train
273000.00,2,0.5,1180,7750,1,0,0,4,6,590,590,1945,0,98155,1380,8976,train
924000.00,3,1.5,2200,5000,1.5,0,0,3,9,2200,0,1932,0,98199,2860,5000,train
485000.00,4,1.75,2050,8913,1,0,0,3,7,1330,720,1968,0,98052,1290,8550,train
1715000.00,4,2.5,3070,7207,2,0,0,4,10,2670,400,1927,0,98112,3190,7523,train
395000.00,4,2.5,2740,8336,2,0,0,4,9,2740,0,1990,0,98031,2460,9189,train
860000.00,3,2,2090,4190,1.5,0,0,4,8,1490,600,1930,0,98122,2090,6270,train
1065500.00,3,2.25,2950,7232,1,0,2,3,8,1520,1430,1983,0,98136,2130,7140,train
709000.00,3,2,2360,18000,1,0,0,4,8,2180,180,1951,0,98177,2600,17300,train
245000.00,3,2.5,1730,7442,2,0,0,3,7,1730,0,1987,0,98030,1630,6458,train
632000.00,6,2.5,2560,8320,1,0,0,3,7,1370,1190,1961,0,98125,2360,7800,train
378000.00,3,1.5,1050,57499,1,0,0,3,7,1050,0,1975,0,98024,1460,42688,train
485000.00,2,1,1080,4080,1,0,0,3,8,1080,0,1948,0,98115,1890,4080,train
250000.00,2,1.5,1160,1086,2,0,0,3,7,890,270,2006,0,98155,1160,1086,train
252000.00,3,2,1420,6788,2,0,0,3,7,1420,0,1990,0,98023,1790,6607,train
423000.00,4,2.5,2320,4254,2,0,0,3,8,2320,0,2004,0,98059,2330,4602,train
580000.00,5,2,2060,6000,2,0,0,3,7,2060,0,1903,0,98105,1770,5000,train
415000.00,4,2.5,2210,213008,1,0,0,4,7,1210,1000,1975,0,98038,2270,52707,train
297000.00,2,1.5,1430,1650,3,0,0,3,7,1430,0,1999,0,98125,1430,1650,train
240000.00,3,1,1340,7000,1,0,0,4,7,1340,0,1978,0,98042,1850,7904,train
562000.00,4,2.25,2170,7007,1,0,0,3,8,1540,630,1974,0,98033,2040,7700,train
613200.00,3,2.75,2050,3320,1.5,0,0,4,7,1580,470,1927,0,98105,1760,4150,train
475000.00,4,2.25,2680,4673,2,0,0,3,7,2680,0,1999,0,98011,2460,4645,train
293000.00,3,2.25,1910,3481,2,0,0,3,8,1910,0,2009,0,98055,1714,3177,train
440000.00,4,2,2310,5004,1,0,0,3,7,1430,880,1994,0,98108,1630,5060,train
156000.00,2,1,920,5889,1,0,0,4,6,920,0,1950,0,98002,1210,6180,train
650000.00,4,2.5,3420,222156,2,0,0,3,9,3420,0,2002,0,98010,3340,222156,train
415000.00,3,2.75,3900,111514,2,0,0,3,6,3460,440,1967,2008,98024,2460,217800,train
