"","id","price","bedrooms","bathrooms","sqft_living","sqft_lot","floors","waterfront","view","condition","grade","sqft_above","sqft_basement","yr_built","yr_renovated","sqft_living15","sqft_lot15","split"
"36",36,515000,4,2.5,1910,8947,1,0,0,4,8,1160,750,1970,0,1920,7350,"train"
"37",37,549900,5,3,3800,42316,1.5,0,0,4,9,3800,0,1984,0,2580,35775,"train"
"38",38,247200,3,1.5,1910,10583,1.5,0,0,4,7,1910,0,1922,1967,1770,9068,"train"
"39",39,527500,5,2.25,2530,8250,2,0,0,4,7,2530,0,1961,0,2020,8250,"train"
"40",40,380000,3,2.5,2150,25705,1.5,0,0,3,6,2150,0,1980,2009,1850,20160,"train"
"41",41,400000,3,2.5,2740,83199,2,0,4,3,9,2740,0,1973,0,2500,29269,"train"
"42",42,303000,2,2,970,9750,1,0,0,5,6,970,0,1940,0,1850,9000,"train"
"43",43,390000,3,1.75,1790,7123,1,0,0,3,7,1790,0,1913,1995,1660,8128,"train"
"44",44,275000,3,1.5,1410,9000,1,0,0,3,7,1410,0,1953,0,1910,7214,"train"
"45",45,360000,4,2.5,2750,6259,2,0,0,3,9,2750,0,2002,0,2810,6824,"train"
"46",46,500000,3,1,1220,3400,1,0,0,3,7,1060,160,1927,0,1350,3750,"train"
"47",47,1150000,5,3.5,4350,6218,2,0,2,3,10,3520,830,2007,0,3260,5989,"train"
"48",48,565000,2,1.75,1330,6000,1,0,0,4,7,960,370,1914,1945,1620,6000,"train"
"49",49,565000,4,2.5,2230,8624,1,0,0,4,8,1430,800,1969,0,1970,8402,"train"
"50",50,1800000,3,3,2790,13295,2,1,4,4,10,2370,420,1933,1989,3140,11949,"train"
"51",51,279000,3,2.5,1500,7350,1,0,0,2,7,1060,440,1979,0,1390,7770,"train"
"52",52,762000,4,3.5,4000,15253,2,0,0,3,9,4000,0,2007,0,3550,8747,"train"
"53",53,1476000,3,2.25,4470,22518,2,0,2,3,9,3240,1230,1953,2004,2930,21837,"train"
"54",54,780000,3,3,2520,2152,1.5,0,0,3,8,1560,960,1925,2006,1140,2152,"train"
"55",55,247500,4,1.75,2290,7765,1,0,0,3,6,2290,0,1936,1953,1240,8215,"train"
"56",56,657000,4,2.75,3060,35380,1,0,0,3,9,1810,1250,1982,0,1980,10425,"train"
"57",57,652000,3,2,1700,4080,1,0,0,4,7,850,850,1941,0,1480,5100,"train"
"58",58,815000,6,3,2860,17853,1,0,0,3,8,1430,1430,1962,2015,1920,13452,"train"
"59",59,1705000,5,3,4290,17100,1,0,3,3,9,2480,1810,1972,2007,3550,16988,"train"
"60",60,208000,3,1,1050,6240,1,0,0,5,5,1050,0,1948,0,1410,6240,"train"
"61",61,277554,5,2.25,2350,13000,1,0,0,3,7,2350,0,1961,0,1570,11440,"train"
"62",62,2544750,5,4.75,5410,13431,2,0,0,4,10,5050,360,1941,0,3750,11596,"train"
"63",63,820000,3,2.5,2990,10711,1,1,4,3,9,1560,1430,1976,1991,2870,11476,"train"
"64",64,325000,4,2.5,1830,7762,2,0,0,3,8,1830,0,1993,0,2109,8966,"train"
"65",65,365000,4,2.5,2030,7210,1,0,0,5,7,1330,700,1969,0,1980,7560,"train"
"66",66,451555,2,1,1320,4520,1,0,1,3,6,1320,0,1912,1971,1420,4560,"train"
"67",67,368000,3,2.5,2080,4307,2,0,0,3,7,2080,0,2004,0,2080,4947,"train"
"68",68,380950,2,1,1430,7819,1,0,0,3,7,1110,320,1944,0,1380,7473,"train"
"69",69,400000,3,1,1250,7157,1,0,0,3,7,1250,0,1944,2010,1300,6796,"train"
"70",70,273000,4,1.5,2180,22870,1,0,0,4,6,1280,900,1954,1975,2420,22614,"train"
"71",71,1755000,3,2,2360,4800,2,0,0,3,9,2360,0,1909,2014,2260,4800,"train"
"72",72,350000,3,2.5,2680,7836,2,0,0,3,8,2680,0,1990,2009,2340,8040,"train"
"73",73,685000,4,2.75,1660,5150,1.5,0,0,5,7,1280,380,1928,0,1490,4017,"train"
"74",74,1227500,4,2.5,3180,10319,2,0,0,4,11,3180,0,1986,0,3130,12120,"train"
"75",75,650000,5,2.75,2580,7865,1,0,0,4,8,1480,1100,1964,0,2140,8400,"train"
"76",76,865000,4,2.5,2520,4950,2,0,0,3,8,2520,0,1906,2002,1810,3500,"train"
"77",77,615000,4,1.75,2270,9830,1,0,0,4,8,2270,0,1959,0,2540,11990,"train"
"78",78,935000,3,2,1720,2000,1.5,0,0,3,8,1060,660,1910,2000,1590,4000,"train"
"79",79,1028950,5,3.25,2680,3011,2,0,0,3,9,1870,810,1910,2014,3440,5165,"train"
"80",80,325000,6,2,2780,13950,2.5,0,0,4,7,2780,0,1955,1964,2120,13950,"train"
"81",81,1100000,4,3,3320,5760,2,0,0,3,9,2120,1200,1954,2007,2400,6144,"train"
"82",82,280000,3,2.25,1610,10454,1,0,0,3,7,1610,0,1977,0,1720,9583,"train"
"83",83,506000,3,2,1160,6120,1,0,0,3,7,1160,0,1947,0,1150,5100,"train"
"84",84,550000,5,1,2150,262231,1.5,0,0,3,7,2150,0,1900,2000,1460,46609,"train"
"85",85,402000,3,2.5,1960,8000,1,0,0,4,7,1290,670,1977,0,1960,8000,"train"
"86",86,470101,4,2.5,2320,7800,2,0,0,3,8,2320,0,1986,0,2090,5721,"train"
"87",87,907000,3,1.5,1340,6000,1.5,0,1,3,9,1340,0,1927,0,2600,6000,"train"
"88",88,522000,3,1.75,1730,8400,1,0,0,4,7,1400,330,1980,0,1830,8636,"train"
"89",89,1010000,4,1,1820,5400,1.5,0,0,3,8,1820,0,1923,2014,1820,5400,"train"
"90",90,430000,3,1.5,1690,9708,1.5,0,0,5,7,1690,0,1954,0,1570,9858,"train"
"91",91,630000,4,2,1770,6000,2,0,0,5,7,1770,0,1911,1981,1340,6000,"train"
"92",92,496600,3,2.5,1910,5562,2,0,0,3,8,1910,0,1988,0,1940,4647,"train"
"93",93,450000,4,2.5,2500,36254,1,0,0,4,8,1590,910,1978,0,2360,36254,"train"
"94",94,397380,2,1,1030,5072,1,0,0,3,6,1030,0,1924,1958,1220,6781,"train"
"95",95,210750,4,1.5,1840,7076,1.5,0,0,3,7,1840,0,1957,0,1510,7320,"train"
"96",96,1295000,3,2.75,3340,12690,1,0,0,3,10,2550,790,1956,1988,3340,9480,"train"
"97",97,601500,3,1.75,1460,10128,1,0,0,3,8,1460,0,1968,2000,2240,10154,"train"
"98",98,240500,2,1,1240,12092,1,0,0,3,6,960,280,1922,1984,1820,7460,"train"
"99",99,399000,2,1,940,4800,1,0,0,4,6,940,0,1911,1955,980,5900,"train"
"100",100,8500000,3,1.75,1370,3850,1,0,0,5,7,770,600,1911,1988,1390,3600,"train"
"101",101,399000,3,1,990,4250,1,0,0,4,7,840,150,1924,0,990,4500,"train"
"102",102,449950,3,2,1560,4080,2,0,0,3,7,1560,0,1923,1982,1900,4080,"train"
"103",103,850000,5,3,3900,5250,1.5,0,1,5,8,2620,1280,1931,0,1950,5700,"train"
"104",104,301500,2,1.5,830,1333,2,0,0,3,7,830,0,2005,0,1120,4822,"train"
"105",105,597500,3,1.75,2030,32565,1,0,0,3,8,1600,430,1981,0,2910,34190,"train"
"106",106,699950,3,3.25,2230,5460,1,0,1,4,8,1430,800,1977,0,2070,5600,"train"
"107",107,2700000,5,4,4230,27295,2,1,4,3,8,3230,1000,1949,1985,2660,27295,"train"
"108",108,629000,5,2,2050,3000,1.5,0,0,3,7,1470,580,1912,1984,1560,4500,"train"
"109",109,445000,3,1.75,1360,4998,1,0,0,3,8,1360,0,1968,2014,1350,4998,"train"
"110",110,350000,3,1.75,1980,273556,1,0,0,3,6,1040,940,1956,1999,2180,217799,"train"
"111",111,1072000,2,2.25,3900,14864,1,0,3,3,8,1950,1950,1947,0,2580,5184,"train"
"112",112,445000,4,2,2630,9099,1.5,0,0,3,7,1830,800,1944,2009,1430,6825,"train"
"113",113,485000,4,2,1400,3600,1,0,0,3,7,1100,300,1900,0,1630,2048,"train"
"114",114,350000,3,1.5,1320,4400,1,0,0,3,6,1320,0,1909,0,1350,4400,"train"
"115",115,392500,3,1,1390,10500,1.5,0,0,3,6,1390,0,1940,0,1350,9800,"train"
"116",116,596000,2,1,1040,4880,1,0,0,3,7,1040,0,1910,1975,1500,4590,"train"
"117",117,340000,2,1,700,5829,1,0,0,3,6,700,0,1945,0,1160,6700,"train"
"118",118,490000,3,1.75,1510,11120,1,0,0,4,8,1510,0,1984,0,2660,10800,"train"
"119",119,285000,3,1,1120,10701,1,0,0,3,7,1120,0,1954,0,1130,6350,"train"
"120",120,490000,2,1,880,6380,1,0,0,3,7,880,0,1938,1994,1340,6380,"train"
"121",121,425000,2,1,830,6030,1,0,0,4,6,830,0,1925,0,1280,6030,"train"
"122",122,325000,3,1.75,2250,26337,1,0,0,3,8,2250,0,1980,0,1830,26337,"train"
"123",123,1824100,3,2.25,3330,20053,2,0,0,3,9,3330,0,1968,1998,2870,20053,"train"
"124",124,275000,2,1.75,930,7080,1,0,0,3,6,930,0,1923,2006,1100,7680,"train"
"125",125,675000,3,2,1510,3817,1.5,0,0,3,8,1510,0,1905,1994,1510,3817,"train"
"126",126,280000,5,2.5,1630,20750,1,0,0,4,7,1100,530,1975,0,1630,8640,"train"
"127",127,2300000,4,2.5,3280,7100,2,0,4,3,10,2180,1100,1911,1987,3240,6674,"train"
"128",128,699000,3,2,1820,4080,2,0,2,3,8,1820,0,1937,1987,2160,5400,"train"
"129",129,480000,3,2.5,2450,28185,2,0,0,3,9,2450,0,1990,0,2440,33541,"train"
"130",130,243000,2,1,1770,5522,1.5,0,0,4,7,960,810,1943,0,1830,7378,"train"
"131",131,800000,4,2.75,3260,5000,2,0,0,3,9,3260,0,2007,0,3450,6218,"train"
"132",132,289000,3,2,1680,8424,1,0,0,3,7,1680,0,1993,0,1990,8545,"train"
"133",133,749000,4,2.5,1710,9627,1,0,0,3,9,1440,270,1976,2014,2140,9131,"train"
"134",134,268000,3,1,1420,6000,1,0,0,3,6,1420,0,1941,0,1480,6000,"train"
"135",135,975000,4,2.25,2250,3600,2,0,0,4,9,2010,240,1912,1994,1910,3990,"train"
"136",136,312500,4,2.5,2500,11983,1,0,0,3,7,1320,1180,1984,2008,1460,9005,"train"
"137",137,965000,4,3.5,3290,5559,1.5,0,0,3,8,2290,1000,1906,2004,1790,6000,"train"
"138",138,397950,4,1.75,2360,8116,1,0,0,4,7,1180,1180,1916,1970,1670,8160,"train"
"139",139,183000,2,1,760,7272,1,0,0,4,7,760,0,1980,0,1370,7866,"train"
"140",140,520000,4,2.75,2700,9882,2,0,0,3,7,2700,0,1958,1989,2250,10797,"train"
"141",141,475999,4,1.75,1880,4175,1.5,0,0,3,7,1090,790,1944,0,1700,3758,"train"
"142",142,390000,3,1,1240,3600,1.5,0,0,3,7,1240,0,1902,0,1680,3600,"train"
"143",143,590000,3,2,1650,6150,2,0,0,4,7,1650,0,1926,1993,1280,6150,"train"
"144",144,519990,4,3.25,1690,1321,2,0,0,3,8,1320,370,2014,0,3080,4558,"train"
"145",145,1200000,4,3,2150,8119,2,0,0,3,8,2150,0,1953,2004,1590,8119,"train"
"146",146,395000,4,2.5,2810,10951,2,0,0,3,8,2810,0,2003,0,1680,6625,"train"
"147",147,425000,2,1,970,2970,1,0,0,3,7,970,0,1910,0,1670,3000,"train"
"148",148,524950,3,1.5,2700,24539,2,0,0,3,7,2120,580,1977,2014,1830,11000,"train"
"149",149,774000,4,2.75,2830,10240,2,0,0,4,9,2830,0,1998,0,3490,10240,"train"
"150",150,1300000,3,2.75,4120,16365,1,0,2,3,12,4120,0,1999,0,4020,14110,"train"
"151",151,495000,3,1.75,1770,10080,1,0,0,3,8,1770,0,1968,0,1860,10456,"train"
"152",152,653000,3,2,2680,8429,1,0,0,4,9,1880,800,1950,1991,1570,8640,"train"
"153",153,195000,3,1,1260,8378,1,0,0,4,6,840,420,1959,1977,1140,8496,"train"
"154",154,760000,3,2,1780,1750,1,0,2,3,8,1400,380,1927,2014,1780,3750,"train"
"155",155,280000,2,1,1150,12861,1,0,0,3,6,1150,0,1959,0,1170,7574,"train"
"156",156,353250,2,1,1060,1600,2,0,0,3,7,1060,0,1979,0,1360,3360,"train"
"157",157,498000,3,2,1620,8400,1,0,0,3,7,1180,440,1968,0,2120,8424,"train"
"158",158,815000,3,2.5,2790,53143,2,0,0,4,9,2790,0,1991,0,2740,47916,"train"
"159",159,546000,2,1,1200,12856,1,0,0,4,6,1200,0,1948,0,1740,6098,"train"
"160",160,449000,4,2.5,1850,5040,1,0,0,3,7,1230,620,1930,2013,1010,5040,"train"
"161",161,1240000,4,3,3010,6139,2,0,4,5,8,2560,450,1950,1972,2100,6798,"train"
"162",162,605000,3,1.75,2330,6000,1.5,0,0,4,7,1630,700,1940,0,1600,4000,"train"
"163",163,575000,3,1.75,1530,6743,1,0,0,3,7,1410,120,1955,0,2040,6000,"train"
"164",164,797000,3,2.5,1370,1911,2,0,0,3,9,1370,0,1907,2011,1630,2090,"train"
"165",165,875000,4,2,2520,6000,1,0,0,3,8,1400,1120,1921,2007,1580,3720,"train"
"166",166,420000,3,1.75,1720,5000,1.5,0,0,3,8,1720,0,1932,2009,1410,8300,"train"
"167",167,335000,2,1,1510,3844,1,0,0,4,7,1510,0,1923,1970,1170,3844,"train"
"168",168,276000,2,1,1140,7200,1,0,0,3,6,1140,0,1923,1951,1110,7200,"train"
"169",169,319000,3,2,1640,9234,1,0,0,5,7,1060,580,1967,0,2230,10354,"train"
"170",170,902000,4,2.5,3030,8507,2,0,0,3,9,3030,0,2003,0,2570,8830,"train"
"171",171,725000,4,2,2110,4140,2,0,0,3,9,1710,400,1925,2003,1440,4420,"train"
"172",172,456700,3,1.75,2820,8879,1,0,0,5,7,1540,1280,1920,1957,1640,7850,"train"
"173",173,230000,3,2,1440,5600,1,0,0,4,6,720,720,1942,2007,1120,5700,"train"
"174",174,1550000,5,4.25,6070,171626,2,0,0,3,12,6070,0,1999,0,4680,211267,"train"
"175",175,1727000,4,2.25,3470,8000,1.5,0,1,3,9,2360,1110,1906,2002,3010,8000,"train"
"176",176,399950,3,2.25,1560,11997,1,0,0,3,7,1260,300,1988,0,1820,36590,"train"
"177",177,515000,5,3.25,2740,9629,1,0,0,5,7,1390,1350,1977,0,2150,10500,"train"
"178",178,525000,2,1.75,1530,3503,1,0,1,4,7,830,700,1916,0,1280,1531,"train"
"179",179,725000,5,3.75,3360,6000,2,0,0,3,8,2640,720,1963,1999,1930,6000,"train"
"180",180,725000,4,1,1600,4500,1.5,0,0,4,7,1600,0,1926,0,1720,4500,"train"
"181",181,507000,4,2,1360,2746,1.5,0,0,3,7,1360,0,1945,2011,1960,2746,"train"
"182",182,292000,3,1.75,1730,11325,1,0,0,5,7,1730,0,1972,0,2030,17859,"train"
"183",183,1400000,3,2,2020,5500,1.5,0,3,3,10,1790,230,1937,0,2580,5500,"train"
"184",184,840000,3,2.5,2060,9715,2,0,0,3,8,2060,0,1924,2006,1240,7072,"train"
"185",185,1000000,4,2.75,3090,16538,3,0,0,4,8,2590,500,1919,1987,1500,5130,"train"
"186",186,186000,3,1,1200,10080,1,0,0,4,7,1200,0,1969,0,1230,9800,"train"
"187",187,495000,3,1.5,2240,13288,1,0,0,3,7,2240,0,1953,0,2150,9900,"train"
"188",188,385000,3,2,1860,7400,1,0,0,3,8,930,930,1922,2004,1640,8461,"train"
"189",189,819000,3,2.5,2750,226512,2,0,0,3,9,2750,0,2000,0,1250,211266,"train"
"190",190,605000,3,2.25,1960,10139,2,0,0,3,8,1960,0,1984,0,2080,9753,"train"
"191",191,265000,3,1.5,1290,7100,1,0,0,3,6,1290,0,1954,0,1300,7183,"train"
"192",192,1150000,3,1.75,1760,6788,2,1,4,3,7,1760,0,1940,1960,1630,7588,"train"
"193",193,969990,4,2.5,4150,8436,2,0,0,3,10,4150,0,2014,0,4070,8438,"train"
"194",194,760000,5,1.5,3050,2992,1.5,0,0,4,8,1920,1130,1931,0,1200,1209,"train"
"195",195,360000,3,1.75,1830,10000,2,0,0,4,7,1830,0,1913,1964,1480,10000,"train"
"196",196,397000,5,1,1170,6757,1,0,0,4,6,800,370,1944,0,1590,6794,"train"
"197",197,980000,4,4.25,3250,11780,2,0,0,3,8,2360,890,1944,2001,1800,9000,"train"
"198",198,1680000,4,4.25,5584,68257,2,0,0,3,11,5584,0,1998,0,5030,101901,"train"
"199",199,427000,3,1,1200,5252,1,0,0,3,7,1200,0,1962,0,1800,7920,"train"
"200",200,6100000,3,2.5,1300,1331,3,0,0,3,8,1300,0,2007,0,1450,5270,"train"
"201",201,864000,4,2.5,3720,105850,2,0,0,4,10,3720,0,1984,0,2830,88256,"train"
"202",202,430000,3,2,1860,7500,1,0,0,3,7,930,930,1909,1950,1000,5000,"train"
"203",203,1328000,5,3,3340,10796,1,0,2,3,9,2120,1220,1964,1990,3290,12955,"train"
"204",204,950000,4,2.5,1700,4418,2,0,0,3,8,1700,0,1931,2000,2090,4174,"train"
"205",205,448000,5,3.5,3740,24684,2,0,0,3,9,2760,980,1998,0,2880,26023,"train"
"206",206,370000,2,1,750,2020,1,0,0,3,7,750,0,1908,1995,1630,2383,"train"
"207",207,485000,3,2.5,1840,8250,1,0,1,3,8,1340,500,1958,0,1970,7920,"train"
"208",208,550000,3,1.75,1650,3200,1.5,0,0,3,8,1650,0,1901,0,1500,2400,"train"
"209",209,750000,5,3.75,3500,101494,1.5,0,0,3,8,3500,0,1967,1990,3250,38636,"train"
"210",210,545000,4,2,1700,2350,1,0,0,3,6,850,850,1926,2014,1600,4160,"train"
"211",211,531000,3,2.5,2120,9736,2,0,0,3,9,2120,0,1988,0,2490,8763,"train"
"212",212,221900,2,1,780,6727,1,0,0,3,6,780,0,1939,0,1860,10124,"train"
"213",213,1000000,5,3,3350,9450,2,0,0,5,8,2180,1170,1912,1980,2660,4500,"train"
"214",214,345000,2,1,970,5750,1,0,0,4,6,970,0,1932,0,1650,8625,"train"
"215",215,84000,2,1,700,20130,1,0,0,3,6,700,0,1949,0,1490,18630,"train"
"216",216,260000,3,1.75,1750,11180,1,0,0,3,8,1750,0,1968,0,1730,11180,"train"
"217",217,700000,5,2.75,3100,9825,2,0,2,4,8,3100,0,1950,1982,2120,8400,"train"
"218",218,1900000,4,2.5,3680,13351,2,0,2,5,9,3680,0,1946,1982,3410,11700,"train"
"219",219,371000,4,1.75,1610,11305,1,0,0,3,7,1610,0,1968,0,1870,11850,"train"
"220",220,420000,3,2,2330,6346,1.5,0,0,3,6,1600,730,1934,2014,1380,8400,"train"
"221",221,1950000,4,3.75,4150,17424,1,0,0,3,9,3130,1020,1963,2000,3930,21420,"train"
"222",222,920000,4,3.75,4030,503989,2,0,0,3,10,4030,0,2008,0,2110,71874,"train"
"223",223,490000,4,2.5,2360,4367,2,0,0,3,8,2360,0,2003,0,2360,4868,"train"
"224",224,619000,3,2,1990,3000,1.5,0,2,5,8,1430,560,1927,0,1780,5000,"train"
"225",225,477000,3,2.5,2100,5060,2,0,0,3,7,2100,0,2006,0,1520,2468,"train"
"226",226,500000,3,2,1540,3600,1,0,0,3,7,890,650,1994,0,1540,3600,"train"
"227",227,350000,3,1,1790,3876,1.5,0,0,5,7,1090,700,1904,0,1360,4080,"train"
"228",228,625000,3,2.5,2750,35000,2,0,0,3,9,2750,0,1993,0,2780,35862,"train"
"229",229,390000,2,1,1800,119790,1,0,0,4,7,1200,600,1947,1977,2320,79208,"train"
"230",230,760000,3,2.5,4040,147856,2,0,0,3,9,4040,0,2004,0,3000,125452,"train"
"231",231,248500,3,2,1240,12285,1,0,0,3,7,620,620,1939,1991,1560,11564,"train"
"232",232,240000,6,1.75,2210,8594,1,0,0,3,7,1310,900,1959,0,1850,8594,"train"
"233",233,850000,3,2,2470,8800,2,0,0,3,9,2470,0,1961,2004,2340,10980,"train"
"234",234,613000,2,2,1170,1890,1.5,0,1,4,8,1170,0,1927,0,2160,4000,"train"
"235",235,620000,4,2.5,2500,8282,2,0,0,3,9,2500,0,2013,0,2500,8046,"train"
"236",236,525000,2,1.5,960,7200,1,0,0,3,7,960,0,1910,1987,1550,6000,"train"
"237",237,370000,3,1.75,1620,37913,2,0,0,4,7,1620,0,1953,1975,2190,21518,"train"
"238",238,212000,4,2.5,1900,21780,1.5,0,0,3,7,1900,0,1940,1987,1240,9166,"train"
"239",239,1355000,5,3.5,5960,13703,2,0,2,3,10,4770,1190,1984,0,2810,17320,"train"
"240",240,1600000,3,2.25,3170,5000,2,0,0,5,10,2230,940,1975,0,3170,5400,"train"
"241",241,703000,3,2,1360,5980,1.5,0,0,3,8,1360,0,1945,2008,1520,4440,"train"
"242",242,492000,3,1.75,2770,39927,1,0,0,4,8,1580,1190,1978,0,2420,36384,"train"
"243",243,840000,3,3,3570,6250,2,0,2,3,10,2710,860,1985,0,2550,7596,"train"
"244",244,238000,4,1.75,1650,6900,1,0,0,3,7,910,740,1978,1993,1540,7645,"train"
"245",245,577288,4,2.75,2870,7200,2,0,0,3,9,2870,0,2008,0,2030,5400,"train"
"246",246,205000,3,1,1210,10185,1,0,0,3,6,1210,0,1957,0,1320,10245,"train"
"247",247,385500,3,2,1540,7947,1,0,0,3,7,1120,420,1961,0,1910,7950,"train"
"248",248,850000,4,3.5,2640,5900,2,0,2,3,8,2640,0,1937,1998,1700,5900,"train"
"249",249,589000,3,1,1110,6000,1.5,0,0,5,7,1110,0,1932,0,1420,6000,"train"
"250",250,850000,3,2,1540,3600,2,0,0,3,8,1540,0,1900,1988,2970,3600,"train"
"251",251,744000,4,3,1980,5352,2.5,0,0,3,8,1980,0,1941,2005,1680,5352,"train"
"252",252,324950,4,2.5,2229,5723,2,0,0,3,7,2229,0,2012,0,2738,5742,"train"
"253",253,182500,3,2.25,1830,4744,2,0,0,3,7,1830,0,1997,0,1670,8001,"train"
"254",254,203000,3,2.25,1630,9145,1,0,0,3,7,1630,0,1960,0,1630,9206,"train"
"255",255,639000,3,2.25,1400,2421,2,0,0,3,9,1400,0,2005,0,1500,2743,"train"
"256",256,780000,3,2.75,1970,2600,2.5,0,0,3,8,1970,0,1924,1994,1680,3120,"train"
"257",257,605004,4,2,1370,4000,2,0,0,3,9,1370,0,1951,1994,2010,5720,"train"
"258",258,1225000,4,2.5,3120,49456,2,1,4,4,9,2590,530,1974,1989,2030,32181,"train"
"259",259,625000,3,2,2140,3600,2,0,0,3,8,1680,460,1911,1997,2340,5400,"train"
"260",260,595000,2,1.75,1280,8500,1,0,0,3,7,1280,0,1953,2010,1950,10356,"train"
"261",261,299990,3,2.5,1870,8541,2,0,0,3,8,1870,0,1989,0,2150,7789,"train"
"262",262,350000,3,2.5,2180,15484,1,0,0,3,8,2180,0,1992,0,2090,10775,"train"
"263",263,990000,4,3.75,3450,4940,2,0,0,3,10,2570,880,2006,0,1880,5387,"train"
"264",264,290000,2,1,1020,6380,1,0,0,3,7,1020,0,1930,1973,1380,6380,"train"
"265",265,900000,3,2.75,2980,12600,1.5,0,0,3,8,1590,1390,1941,2012,1520,9660,"train"
"266",266,299000,3,2.5,1590,3121,2,0,0,3,7,1590,0,1994,0,1090,4900,"train"
"267",267,289950,3,1,1090,8280,1,0,0,3,6,1090,0,1947,2006,1060,7609,"train"
"268",268,521000,3,2,1840,6000,1,0,0,4,6,1840,0,1908,1944,2010,6000,"train"
"269",269,450000,3,2,1150,4500,1.5,0,0,3,7,1150,0,1917,1991,1230,5400,"train"
"270",270,750000,5,3.25,2750,7500,2,0,1,3,7,2150,600,1937,1997,2750,7500,"train"
"271",271,450000,3,2,1540,67756,1,0,0,3,7,1540,0,1900,1973,2060,67756,"train"
"272",272,600000,4,2.5,2070,8127,1.5,0,0,3,9,1590,480,1924,2003,2050,8131,"train"
"273",273,599000,5,2.75,2730,22572,1,0,0,3,7,2080,650,1968,1992,2260,15458,"train"
"274",274,146000,3,1,900,4770,1,0,0,3,6,900,0,1969,2009,900,3480,"train"
"275",275,374950,3,2.25,1390,1484,3,0,0,3,8,1390,0,2007,0,1250,1087,"train"
